#CODESYSTEMID=2.16.840.1.113883.6.8|CODESYSTEMNAME=UCUM|CODESYSTEMDISPLAYNAME=UCUM|VERSION=1|DESCRIPTION=The Unified Code for Units of Measure|LANGUAGE=en|AUTHORITYNAME=Regenstrief Institute, Inc. and The UCUM  Organization|AUTHORITYDESCRIPTION=The Organization|AUTHORITYCONTACTINFORMATION=http://unitsofmeasure.org/|VALIDFROM=08/07/2010 10:38
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|DIM|VALUE.UNIT [CASE INSENSITIVE]|VALUE.UNIT [CASE SENSITIVE]|VALUE.VALUE|CODE EQUIVALENT [T]|CODE EQUIVALENT [S]|VALID FROM|VALID TO
25.25.292_V1|AO|Ao|Ã?â?¦ngstrÃ?Â¶m|C|0|1||NM|nm|0.1|||08/07/2010 10:38|
25.25.301_V1|[SMOOT]|[smoot]|Smoot|C|0|1||[IN_I]|[in_i]|67|||08/07/2010 10:38|
25.25.83_V1|ASU|AU|astronomic unit|C|0|1||MAM|Mm|149597.870|||08/07/2010 10:38|
25.25.84_V1|PRS|pc|parsec|C|0|1||M|m|3.085678e16|||08/07/2010 10:38|
25.25.96_V1|[LY]|[ly]|light-year|C|0|1||[C].ANN_J|[c].a_j|1|||08/07/2010 10:38|
25.261_V1|-|biologic activity of anticardiolipin IgG|biologic activity of anticardiolipin IgG|A|0|1|||||||08/07/2010 10:38|
25.261.261_V1|[GPL'U]|[GPL'U]|GPL unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.262_V1|-|biologic activity of anticardiolipin IgM|biologic activity of anticardiolipin IgM|A|0|1|||||||08/07/2010 10:38|
25.262.262_V1|[MPL'U]|[MPL'U]|MPL unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.263_V1|-|biologic activity of anticardiolipin IgA|biologic activity of anticardiolipin IgA|A|0|1|||||||08/07/2010 10:38|
25.263.263_V1|[APL'U]|[APL'U]|APL unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.264_V1|-|biologic activity of factor VIII inhibitor|biologic activity of factor VIII inhibitor|A|0|1|||||||08/07/2010 10:38|
25.264.264_V1|[BETH'U]|[beth'U]|Bethesda unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.265_V1|-|biologic activity antistreptolysin O|biologic activity antistreptolysin O|A|0|1|||||||08/07/2010 10:38|
25.265.265_V1|[TODD'U]|[todd'U]|Todd unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.266_V1|-|biologic activity of amylase|biologic activity of amylase|A|0|1|||||||08/07/2010 10:38|
25.266.266_V1|[DYE'U]|[dye'U]|Dye unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.266.267_V1|[SMGY'U]|[smgy'U]|Somogyi unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.268_V1|-|biologic activity of phosphatase|biologic activity of phosphatase|A|0|1|||||||08/07/2010 10:38|
25.268.268_V1|[BDSK'U]|[bdsk'U]|Bodansky unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.268.269_V1|[KA'U]|[ka'U]|King-Armstrong unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.26_V1|-|time|time|A|0|1|||||||08/07/2010 10:38|
25.26.26_V1|S|s|second|C|0|1|T||||||08/07/2010 10:38|
25.26.67_V1|MIN|min|minute|C|0|1||S|s|60|||08/07/2010 10:38|
25.26.68_V1|HR|h|hour|C|0|1||MIN|min|60|||08/07/2010 10:38|
25.26.69_V1|D|d|day|C|0|1||HR|h|24|||08/07/2010 10:38|
25.26.70_V1|ANN_T|a_t|tropical year|C|0|1||D|d|365.24219|||08/07/2010 10:38|
25.26.71_V1|ANN_J|a_j|mean Julian year|C|0|1||D|d|365.25|||08/07/2010 10:38|
25.26.72_V1|ANN_G|a_g|mean Gregorian year|C|0|1||D|d|365.2425|||08/07/2010 10:38|
25.26.73_V1|ANN|a|year|C|0|1||ANN_J|a_j|1|||08/07/2010 10:38|
25.26.74_V1|WK|wk|week|C|0|1||D|d|7|||08/07/2010 10:38|
25.26.75_V1|MO_S|mo_s|synodal month|C|0|1||D|d|29.53059|||08/07/2010 10:38|
25.26.76_V1|MO_J|mo_j|mean Julian month|C|0|1||ANN_J/12|a_j/12|1|||08/07/2010 10:38|
25.26.77_V1|MO_G|mo_g|mean Gregorian month|C|0|1||ANN_G/12|a_g/12|1|||08/07/2010 10:38|
25.26.78_V1|MO|mo|month|C|0|1||MO_J|mo_j|1|||08/07/2010 10:38|
25.270_V1|-|arbitrary biologic activity|arbitrary biologic activity|A|0|1|||||||08/07/2010 10:38|
25.270.270_V1|[KNK'U]|[knk'U]|Kunkel unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.270.271_V1|[MCLG'U]|[mclg'U]|Mac Lagan unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.272_V1|-|biologic activity of tuberculin|biologic activity of tuberculin|A|0|1|||||||08/07/2010 10:38|
25.272.272_V1|[TB'U]|[tb'U]|tuberculin unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.273_V1|-|biologic activity (infectivity) of an infectious agent preparation|biologic activity (infectivity) of an infectious agent preparation|A|0|1|||||||08/07/2010 10:38|
25.273.273_V1|[CCID_50]|[CCID_50]|50% cell culture infectious dose|C|0|1||1|1|1|||08/07/2010 10:38|
25.273.274_V1|[TCID_50]|[TCID_50]|50% tissue culture infectious dose|C|0|1||1|1|1|||08/07/2010 10:38|
25.275_V1|-|amount of an infectious agent|amount of an infectious agent|A|0|1|||||||08/07/2010 10:38|
25.275.275_V1|[PFU]|[PFU]|plaque forming units|C|0|1||1|1|1|||08/07/2010 10:38|
25.275.276_V1|[FFU]|[FFU]|focus forming units|C|0|1||1|1|1|||08/07/2010 10:38|
25.277_V1|-|amount of a proliferating organism|amount of a proliferating organism|A|0|1|||||||08/07/2010 10:38|
25.277.277_V1|[CFU]|[CFU]|colony forming units|C|0|1||1|1|1|||08/07/2010 10:38|
25.278_V1|-|amount of an allergen callibrated through in-vivo testing based on the ID50EAL method of intradermal dilution for 50mm sum of erythema diameters|amount of an allergen callibrated through in-vivo testing based on the ID50EAL method of intradermal dilution for 50mm sum of erythema diameters|A|0|1|||||||08/07/2010 10:38|
25.278.278_V1|[BAU]|[BAU]|bioequivalent allergen unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.279_V1|-|procedure defined amount of an allergen using some reference standard|procedure defined amount of an allergen using some reference standard|A|0|1|||||||08/07/2010 10:38|
25.279.279_V1|[AU]|[AU]|allergen unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.27_V1|-|mass|mass|A|0|1|||||||08/07/2010 10:38|
25.27.190_V1|[GR]|[gr]|grain|C|0|1||MG|mg|64.79891|||08/07/2010 10:38|
25.27.191_V1|[LB_AV]|[lb_av]|pound|C|0|1||[GR]|[gr]|7000|||08/07/2010 10:38|
25.27.192_V1|[OZ_AV]|[oz_av]|ounce|C|0|1||[LB_AV]/16|[lb_av]/16|1|||08/07/2010 10:38|
